timestamp(ms),weight_g
364739,45.032360
364840,45.002502
364941,44.966560
365042,44.947582
365143,44.942768
365244,44.916645
365345,44.848606
365446,44.728256
365547,44.351894
365648,44.123085
365749,43.874340
365850,43.606030
365951,43.317036
366052,43.006264
366153,42.674046
366254,42.323650
366355,41.961746
366456,41.241554
366557,40.905594
366658,40.604893
366759,40.361618
366860,40.189640
366961,40.097427
367062,40.087280
367163,40.087280
367264,40.156265
367365,40.509079
367466,40.782948
367567,41.109943
367668,41.481922
367769,41.884262
367870,42.297707
367971,42.703938
368072,43.091240
368173,43.457172
368274,44.152237
368375,44.500713
368476,44.859417
368577,45.233139
368678,45.626263
368779,46.038582
368880,46.459827
368981,46.912521
369082,47.672813
369183,56.686615
369284,73.670868
369385,107.932053
369486,165.460754
369587,248.441818
369688,353.669922
369789,473.205444
369890,592.760315
369991,696.067322
370092,808.491028
370193,808.491028
370294,802.285889
370395,754.812866
370496,675.298340
370597,578.105835
370698,482.471497
370799,401.990784
370900,341.928558
371001,286.042877
371102,283.076630
371203,281.207336
371304,286.016113
371405,293.333923
371506,297.450195
371607,298.224487
371708,298.729980
371809,297.453491
371910,293.625641
372011,293.175476
372112,293.059174
372213,293.322998
372314,294.021881
372415,294.597015
372516,294.858917
372617,294.880798
372718,294.895691
372819,294.746948
372920,294.528473
373021,294.528473
373122,294.567657
373223,294.672577
373324,294.800873
373425,294.903748
373526,294.972412
373627,295.008209
373728,295.020081
373829,295.032837
373930,295.036255
374031,295.037842
374132,295.042969
374233,295.048279
374334,295.054260
374435,295.061951
374536,295.071777
374637,295.079224
374738,295.097137
374839,295.101440
374940,295.107056
